data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2021-05-31,DSP - DESPACHO 1540/2021,DSP,DESPACHO,1540/2021,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência (partes relacionadas),NULL,1,Texto Integral
2021-05-31,DSP - DESPACHO 1543/2021,DSP,DESPACHO,1543/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2021-05-31,DSP - DESPACHO 1544/2021,DSP,DESPACHO,1544/2021,CEL/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Concessionária de transmissão,PREENCHIDA,1,Texto Integral
2021-05-31,EDT - EDITAL,SEM_MATCH,SEM_MATCH,SEM_MATCH,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Notificação,PREENCHIDA,1,Texto Integral
2021-05-31,PRT - PORTARIA 678/2021,PRT,PORTARIA,678/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-05-31,PRT - PORTARIA 679/2021,PRT,PORTARIA,679/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-05-31,PRT - PORTARIA 680/2021,PRT,PORTARIA,680/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-05-31,PRT - PORTARIA 681/2021,PRT,PORTARIA,681/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-05-31,PRT - PORTARIA 682/2021,PRT,PORTARIA,682/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-05-31,PRT - PORTARIA 683/2021,PRT,PORTARIA,683/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10033/2021,REA,RESOLUÇÃO AUTORIZATIVA,10033/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10034/2021,REA,RESOLUÇÃO AUTORIZATIVA,10034/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10035/2021,REA,RESOLUÇÃO AUTORIZATIVA,10035/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10036/2021,REA,RESOLUÇÃO AUTORIZATIVA,10036/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10037/2021,REA,RESOLUÇÃO AUTORIZATIVA,10037/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10038/2021,REA,RESOLUÇÃO AUTORIZATIVA,10038/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10039/2021,REA,RESOLUÇÃO AUTORIZATIVA,10039/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10040/2021,REA,RESOLUÇÃO AUTORIZATIVA,10040/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10041/2021,REA,RESOLUÇÃO AUTORIZATIVA,10041/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10042/2021,REA,RESOLUÇÃO AUTORIZATIVA,10042/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10043/2021,REA,RESOLUÇÃO AUTORIZATIVA,10043/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10044/2021,REA,RESOLUÇÃO AUTORIZATIVA,10044/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10045/2021,REA,RESOLUÇÃO AUTORIZATIVA,10045/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10046/2021,REA,RESOLUÇÃO AUTORIZATIVA,10046/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10077/2021,REA,RESOLUÇÃO AUTORIZATIVA,10077/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10084/2021,REA,RESOLUÇÃO AUTORIZATIVA,10084/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Declaração de Utilidade Pública,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 10089/2021,REA,RESOLUÇÃO AUTORIZATIVA,10089/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Texto Integral | Voto
2021-05-31,REA - RESOLUÇÃO AUTORIZATIVA 9987/2021,REA,RESOLUÇÃO AUTORIZATIVA,9987/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,NULL,2,Texto Integral | Voto
2021-05-31,REH - RESOLUÇÃO HOMOLOGATÓRIA 2876/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2876/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,2,Texto Integral | Voto
2021-05-28,DEC - DECRETO 10707/2021,DEC,DECRETO,10707/2021,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Regulamentação,PREENCHIDA,1,Texto Integral
2021-05-28,DSP - DESPACHO 1355/2021,DSP,DESPACHO,1355/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Provimento parcial,NULL,2,Texto Integral | Voto
2021-05-28,DSP - DESPACHO 1380/2021,DSP,DESPACHO,1380/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,2,Texto Integral | Voto
2021-05-28,DSP - DESPACHO 1438/2021,DSP,DESPACHO,1438/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,NULL,2,Texto Integral | Voto
2021-05-28,DSP - DESPACHO 1485/2021,DSP,DESPACHO,1485/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-05-28,DSP - DESPACHO 1486/2021,DSP,DESPACHO,1486/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-05-28,DSP - DESPACHO 1487/2021,DSP,DESPACHO,1487/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
