registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo
2022_01139_pdf1,2022,2022-11-04,DSP - DESPACHO 3157/2022,DSP,DESPACHO,3157/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Prorrogação de prazo,,1,Texto Integral
2022_01198_pdf1,2022,2022-10-31,DSP - DESPACHO 3046/2022,DSP,DESPACHO,3046/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,,1,Texto Integral
2022_01198_pdf2,2022,2022-10-31,DSP - DESPACHO 3046/2022,DSP,DESPACHO,3046/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,,2,Voto
2022_01258_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 047/2022,ECT,EXTRATO DE CONTRATO,047/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01259_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 048/2022,ECT,EXTRATO DE CONTRATO,048/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01260_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 049/2022,ECT,EXTRATO DE CONTRATO,049/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01261_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 050/2022,ECT,EXTRATO DE CONTRATO,050/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01262_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 051/2022,ECT,EXTRATO DE CONTRATO,051/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01263_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 052/2022,ECT,EXTRATO DE CONTRATO,052/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01264_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 053/2022,ECT,EXTRATO DE CONTRATO,053/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01265_pdf1,2022,2022-10-27,ECT - EXTRATO DE CONTRATO 054/2022,ECT,EXTRATO DE CONTRATO,054/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_01270_pdf1,2022,2022-10-27,PRT - PORTARIA 330/2022,PRT,PORTARIA,330/2022,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Designação,,1,Texto Integral
2022_01272_pdf1,2022,2022-10-27,PRT - PORTARIA 6784/2022,PRT,PORTARIA,6784/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Criação,,1,Texto Integral
2022_01272_pdf2,2022,2022-10-27,PRT - PORTARIA 6784/2022,PRT,PORTARIA,6784/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Criação,,2,Voto
2022_01284_pdf1,2022,2022-10-26,DSP - DESPACHO 3081/2022,DSP,DESPACHO,3081/2022,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Atendimento,,1,Texto Integral
2022_01292_pdf1,2022,2022-10-26,PRT - PORTARIA 325/2022,PRT,PORTARIA,325/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Revogação,,1,Texto Integral
2022_01326_pdf1,2022,2022-10-24,DSP - DESPACHO 3047/2022,DSP,DESPACHO,3047/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,,,1,Texto Integral
2022_01361_pdf1,2022,2022-10-21,PRT - PORTARIA 323/2022,PRT,PORTARIA,323/2022,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença para capacitação,,1,Texto Integral
2022_01383_pdf1,2022,2022-10-20,DSP - DESPACHO 3007/2022,DSP,DESPACHO,3007/2022,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Prorrogação de prazo,,1,Texto Integral
2022_01420_pdf1,2022,2022-10-19,DSP - DESPACHO 2896/2022,DSP,DESPACHO,2896/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Recurso administrativo,,1,Texto Integral
2022_01420_pdf2,2022,2022-10-19,DSP - DESPACHO 2896/2022,DSP,DESPACHO,2896/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Recurso administrativo,,2,Voto
2022_01427_pdf1,2022,2022-10-19,DSP - DESPACHO 2991/2022,DSP,DESPACHO,2991/2022,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extinção do processo,,1,Texto Integral
2022_01473_pdf1,2022,2022-10-18,DSP - DESPACHO 2978/2022,DSP,DESPACHO,2978/2022,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,,1,Texto Integral
2022_01474_pdf1,2022,2022-10-18,DSP - DESPACHO 2979/2022,DSP,DESPACHO,2979/2022,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,,1,Texto Integral
2022_01491_pdf1,2022,2022-10-17,DSP - DESPACHO 2826/2022,DSP,DESPACHO,2826/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,PREENCHIDA,1,Texto Integral
2022_01570_pdf1,2022,2022-10-13,DSP - DESPACHO 2931/2022,DSP,DESPACHO,2931/2022,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência (alteração estatutária),,1,Texto Integral
